country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-02,-37.0,14.0,-70.0,,-11.0,12.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-03,-34.0,27.0,-78.0,,-15.0,13.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-04,-71.0,,-87.0,,-33.0,22.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-05,-28.0,10.0,-65.0,,-15.0,10.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-06,-32.0,6.0,-66.0,,-15.0,9.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-07,-33.0,3.0,-66.0,,-14.0,8.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-08,-28.0,9.0,-64.0,,-14.0,11.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-09,-33.0,8.0,-67.0,,-7.0,13.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-10,-29.0,27.0,-78.0,,-13.0,14.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-11,-58.0,,-77.0,,-22.0,22.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-12,-57.0,-41.0,-75.0,,-53.0,16.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-13,-33.0,11.0,-71.0,,-9.0,11.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-14,-35.0,-5.0,-74.0,,-13.0,9.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-15,-28.0,10.0,-65.0,,-10.0,11.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-16,-26.0,19.0,-66.0,,-8.0,13.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-17,-13.0,45.0,-73.0,,-8.0,12.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-18,-58.0,,-85.0,,-4.0,18.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-19,-28.0,-2.0,-67.0,,-9.0,12.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-20,-33.0,6.0,-70.0,,-10.0,11.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-21,-40.0,-10.0,-77.0,,-12.0,12.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-22,-39.0,-1.0,-74.0,,-11.0,16.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-23,-29.0,12.0,-67.0,,-2.0,13.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-24,-23.0,24.0,-74.0,,-5.0,11.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-25,-57.0,,-76.0,,-12.0,21.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-26,-24.0,8.0,-70.0,,-3.0,11.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-27,-32.0,6.0,-71.0,,-6.0,10.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-28,-31.0,-3.0,-74.0,,-9.0,9.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-29,-33.0,-1.0,-70.0,,-8.0,10.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-30,-32.0,4.0,-71.0,,-3.0,10.0
AR,Argentina,Buenos Aires Province,Coronel Suaréz,,,,ChIJ08T46YFx65URLOIqlrOG8OM,2020-10-31,-25.0,22.0,-73.0,,-7.0,9.0
