country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-13,,13.0,,,-10.0,
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-14,2.0,2.0,,19.0,1.0,3.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-15,3.0,8.0,,2.0,-4.0,3.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-16,3.0,3.0,,4.0,-4.0,3.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-17,0.0,-7.0,,6.0,-7.0,5.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-18,11.0,2.0,,18.0,-1.0,2.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-19,11.0,1.0,,,-8.0,
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-20,,-3.0,54.0,,-5.0,
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-21,0.0,-5.0,,5.0,0.0,3.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-22,-2.0,-2.0,,-11.0,-5.0,4.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-23,1.0,0.0,,-10.0,-5.0,4.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-24,0.0,-6.0,,-6.0,-6.0,6.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-25,9.0,5.0,,-9.0,-3.0,5.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-26,13.0,3.0,,-23.0,-6.0,4.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-27,,2.0,24.0,,-7.0,
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-28,4.0,-6.0,,-8.0,-14.0,5.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-29,-1.0,-8.0,,-26.0,-17.0,7.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-09-30,-2.0,0.0,,-17.0,-16.0,6.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-10-01,4.0,-1.0,,1.0,-18.0,4.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-10-02,0.0,4.0,,-10.0,-15.0,2.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-10-03,0.0,-1.0,14.0,,-11.0,2.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-10-04,,,-21.0,,-7.0,
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-10-05,-61.0,-52.0,,-23.0,-74.0,15.0
AU,Australia,South Australia,Campbelltown City Council,,,,ChIJB887QYTKsGoRCg_kdZjJX3k,2020-10-06,7.0,16.0,,-5.0,-18.0,5.0
