country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-18,,,,,0.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-19,,,,,2.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-21,,,,,3.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-22,,,,,0.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-23,,,,,1.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-24,,,,,-10.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-25,,,,,-46.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-26,,,,,-2.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-28,,,,,7.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-29,,,,,0.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-30,,,,,-8.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2020-12-31,,,,,-12.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-01,,,,,-53.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-02,,,,,-11.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-04,,,,,4.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-05,,,,,-5.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-06,,,,,-5.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-07,,,,,-4.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-08,,,,,4.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-09,,,,,0.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-11,,,,,5.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-12,,,,,-4.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-13,,,,,-8.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-14,,,,,-10.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-15,,,,,-8.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-16,,,,,-5.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-18,,,,,0.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-19,,,,,-13.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-20,,,,,-12.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-21,,,,,-7.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-22,,,,,-10.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-23,,,,,-10.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-25,,,,,-4.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-26,,,,,-9.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-27,,,,,-8.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-28,,,,,-6.0,
BR,Brazil,State of Paraíba,Princesa Isabel,,,,ChIJuZpCnJH4pgcRVl3LM85PHnA,2021-01-29,,,,,-7.0,
