country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-07-31,-10.0,12.0,176.0,-38.0,-38.0,6.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-01,-19.0,-2.0,242.0,-44.0,-3.0,0.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-02,-12.0,-6.0,336.0,-45.0,-3.0,-3.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-03,-16.0,-2.0,259.0,-57.0,-72.0,12.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-04,-7.0,4.0,141.0,-44.0,-39.0,9.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-05,-1.0,13.0,205.0,-37.0,-37.0,8.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-06,-1.0,11.0,188.0,-44.0,-37.0,8.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-07,-12.0,4.0,138.0,-42.0,-34.0,7.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-08,-17.0,-3.0,211.0,-44.0,-2.0,1.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-09,-13.0,-7.0,201.0,-39.0,-3.0,-1.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-10,-4.0,3.0,155.0,-41.0,-36.0,8.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-11,-7.0,-2.0,171.0,-46.0,-36.0,8.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-12,-10.0,2.0,114.0,-43.0,-36.0,10.0
CA,Canada,Saskatchewan,Division No. 6 - Regina,,,,ChIJGcWg4WwcHFMRZd-0XqyoJzo,2020-08-13,-4.0,13.0,148.0,-47.0,-36.0,9.0
