country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-15,3.0,0.0,12.0,3.0,-1.0,-1.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-16,4.0,2.0,4.0,5.0,1.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-17,1.0,0.0,7.0,2.0,-2.0,1.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-18,2.0,3.0,11.0,1.0,-2.0,1.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-19,0.0,0.0,8.0,0.0,-2.0,1.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-20,2.0,1.0,7.0,4.0,-3.0,2.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-21,-1.0,-1.0,7.0,1.0,-3.0,2.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-22,-3.0,-5.0,7.0,-1.0,0.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-23,1.0,1.0,6.0,6.0,1.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-24,-3.0,-3.0,3.0,-1.0,2.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-25,0.0,0.0,10.0,0.0,2.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-26,-3.0,-2.0,5.0,0.0,3.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-27,1.0,0.0,5.0,2.0,2.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-28,-2.0,0.0,7.0,-1.0,2.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-02-29,1.0,0.0,10.0,1.0,3.0,-1.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-03-01,6.0,5.0,10.0,4.0,5.0,-1.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-03-02,1.0,2.0,9.0,3.0,5.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-03-03,4.0,3.0,8.0,6.0,5.0,0.0
CI,Côte d'Ivoire,,,,,,ChIJZ6BJsIcTlg8RQO65fGIe-QE,2020-03-04,6.0,5.0,9.0,7.0,4.0,-1.0
