country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-03,-68.0,,-66.0,-63.0,-69.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-04,-70.0,,-72.0,-72.0,-65.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-05,,,-84.0,-82.0,-61.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-06,-61.0,,-71.0,-66.0,-72.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-07,-61.0,,-59.0,-66.0,-71.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-08,-62.0,,-59.0,-64.0,-72.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-09,-84.0,,-77.0,-79.0,-84.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-10,,,-100.0,,-90.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-11,-71.0,,-77.0,-74.0,-68.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-12,,,-84.0,-81.0,-58.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-13,-59.0,,-71.0,-64.0,-69.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-14,-59.0,,-62.0,-61.0,-66.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-15,-59.0,,-55.0,-57.0,-65.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-16,-58.0,,-58.0,-58.0,-66.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-17,-60.0,,-62.0,-60.0,-62.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-18,-64.0,,-71.0,-71.0,-58.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-19,,,-82.0,-81.0,-52.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-20,-54.0,,-68.0,-60.0,-63.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-21,-56.0,,-65.0,-62.0,-64.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-22,-56.0,,-65.0,-57.0,-61.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-23,-58.0,,-63.0,-61.0,-62.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-24,-57.0,,-65.0,-57.0,-57.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-25,-64.0,,-70.0,-68.0,-51.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-26,,,-81.0,-78.0,-50.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-27,-49.0,,-64.0,-59.0,-49.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-28,-45.0,,-56.0,-58.0,-51.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-29,-45.0,,-49.0,-53.0,-50.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-04-30,-46.0,,-44.0,-59.0,-49.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-01,-70.0,,-60.0,-67.0,-67.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-02,-56.0,,-55.0,-65.0,-38.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-03,-65.0,,-68.0,-75.0,-32.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-04,-44.0,,-50.0,-61.0,-43.0,22.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-05,-44.0,,-52.0,-53.0,-44.0,22.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-06,-40.0,,-44.0,-50.0,-44.0,22.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-07,-40.0,,-46.0,-42.0,-43.0,23.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-08,-43.0,,-46.0,-41.0,-39.0,24.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-09,-48.0,,-51.0,-54.0,-29.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-10,-64.0,,-63.0,-69.0,-28.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-11,-39.0,,-56.0,-49.0,-40.0,21.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-12,-35.0,,-47.0,-43.0,-38.0,22.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-13,-37.0,,-44.0,-40.0,-39.0,22.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-14,-39.0,,-49.0,-38.0,-39.0,22.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-15,-40.0,,-46.0,-42.0,-35.0,23.0
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-16,-48.0,,-51.0,-50.0,-24.0,
CO,Colombia,Antioquia,Girardota,,,,ChIJGacFfkg7RI4RdpZ-eVj1zeE,2020-05-17,-60.0,,-61.0,-59.0,-21.0,
