country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-02,-77.0,-22.0,-6.0,-59.0,-53.0,16.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-03,-72.0,-18.0,4.0,-57.0,-48.0,12.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-04,-59.0,-9.0,-6.0,-46.0,-45.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-05,-62.0,-11.0,0.0,-42.0,-49.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-06,-64.0,-15.0,3.0,-49.0,-50.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-07,-65.0,-16.0,-4.0,-48.0,-52.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-08,-72.0,-19.0,-18.0,-57.0,-53.0,20.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-09,-78.0,-26.0,-19.0,-63.0,-50.0,16.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-10,-79.0,-28.0,-35.0,-69.0,-50.0,13.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-11,-68.0,-23.0,-21.0,-53.0,-50.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-12,-61.0,-14.0,23.0,-44.0,-50.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-13,-71.0,-23.0,-26.0,-56.0,-51.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-14,-71.0,-26.0,-21.0,-52.0,-53.0,20.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-15,-70.0,-19.0,-15.0,-58.0,-53.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-16,-80.0,-26.0,-41.0,-69.0,-51.0,16.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-17,-78.0,-27.0,-20.0,-66.0,-54.0,12.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-18,-65.0,-21.0,-13.0,-54.0,-51.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-19,-71.0,-26.0,-21.0,-51.0,-53.0,20.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-20,-71.0,-23.0,-25.0,-54.0,-52.0,20.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-21,-69.0,-19.0,-11.0,-53.0,-53.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-22,-69.0,-16.0,-14.0,-57.0,-51.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-23,-78.0,-24.0,-27.0,-67.0,-52.0,15.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-24,-78.0,-24.0,-14.0,-66.0,-50.0,11.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-25,-64.0,-17.0,-10.0,-52.0,-51.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-26,-69.0,-18.0,-19.0,-49.0,-52.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-27,-64.0,-14.0,-4.0,-51.0,-51.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-28,-67.0,-18.0,-13.0,-51.0,-52.0,19.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-29,-66.0,-10.0,-8.0,-53.0,-50.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-30,-75.0,-22.0,-24.0,-66.0,-47.0,15.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-01-31,-75.0,-23.0,-5.0,-64.0,-50.0,11.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-01,-61.0,-17.0,8.0,-50.0,-49.0,16.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-02,-71.0,-26.0,-14.0,-49.0,-54.0,20.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-03,-67.0,-17.0,-12.0,-51.0,-50.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-04,-63.0,-14.0,3.0,-46.0,-50.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-05,-67.0,-12.0,-6.0,-54.0,-50.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-06,-75.0,-21.0,-29.0,-63.0,-46.0,15.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-07,-76.0,-25.0,-21.0,-65.0,-53.0,12.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-08,-63.0,-16.0,-1.0,-54.0,-50.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-09,-62.0,-8.0,15.0,-46.0,-49.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-10,-63.0,-10.0,9.0,-48.0,-49.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-11,-60.0,-4.0,27.0,-44.0,-49.0,16.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-12,-65.0,-2.0,1.0,-53.0,-50.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-13,-74.0,-9.0,-21.0,-68.0,-46.0,15.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-14,-75.0,-22.0,-40.0,-70.0,-50.0,13.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-15,-60.0,-12.0,5.0,-51.0,-52.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-16,-61.0,-4.0,19.0,-46.0,-52.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-17,-59.0,-6.0,23.0,-46.0,-52.0,17.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-18,-60.0,-6.0,13.0,-49.0,-54.0,18.0
GB,United Kingdom,Cumbria,South Lakeland District,,,,ChIJk887wMqRfEgRILds7Z75DAQ,2021-02-19,-67.0,-11.0,-22.0,-59.0,-55.0,20.0
