country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-20,-65.0,33.0,-67.0,-61.0,-18.0,16.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-21,-67.0,26.0,-68.0,-60.0,-26.0,18.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-22,-67.0,24.0,-69.0,-62.0,-24.0,19.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-23,-66.0,30.0,-71.0,-64.0,-24.0,18.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-24,-66.0,24.0,-72.0,-63.0,-11.0,15.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-25,-69.0,20.0,-67.0,-69.0,-35.0,18.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-26,-66.0,39.0,-65.0,-62.0,-24.0,13.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-27,-64.0,41.0,-65.0,-59.0,-14.0,12.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-28,-64.0,34.0,-66.0,-59.0,-19.0,14.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-29,-62.0,48.0,-68.0,-60.0,-13.0,14.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-30,-62.0,43.0,-70.0,-59.0,-15.0,14.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-05-31,-61.0,37.0,-71.0,-61.0,-4.0,13.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-06-01,-61.0,56.0,-65.0,-57.0,-14.0,12.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-06-02,-60.0,50.0,-66.0,-48.0,-14.0,11.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-06-03,-56.0,53.0,-66.0,-48.0,-6.0,11.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-06-04,-58.0,51.0,-66.0,-48.0,-14.0,12.0
IN,India,Uttar Pradesh,Rampur,,,,ChIJFTGBV7XyCjkR6JR8g650LUs,2020-06-05,-59.0,43.0,-68.0,-53.0,-12.0,12.0
