country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-15,0.0,4.0,-1.0,-9.0,5.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-16,-2.0,3.0,-4.0,-6.0,4.0,2.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-17,-1.0,3.0,-2.0,-7.0,10.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-18,-1.0,3.0,0.0,-5.0,10.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-19,-1.0,0.0,0.0,-4.0,9.0,2.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-20,-2.0,0.0,1.0,-7.0,11.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-21,0.0,2.0,1.0,-8.0,17.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-22,0.0,4.0,-2.0,-14.0,5.0,3.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-23,2.0,4.0,-3.0,-12.0,6.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-24,1.0,3.0,-1.0,-6.0,9.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-25,3.0,4.0,3.0,-5.0,9.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-26,0.0,1.0,1.0,-4.0,8.0,1.0
LA,Laos,,,,,,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,2020-02-27,1.0,3.0,2.0,-6.0,10.0,1.0
