country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-15,6.0,7.0,4.0,0.0,4.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-16,10.0,9.0,27.0,5.0,4.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-17,8.0,8.0,24.0,10.0,19.0,-2.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-18,8.0,8.0,21.0,7.0,3.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-19,4.0,6.0,14.0,5.0,2.0,-2.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-20,-4.0,0.0,-7.0,-1.0,0.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-21,3.0,6.0,3.0,5.0,18.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-22,0.0,2.0,-6.0,0.0,2.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-23,6.0,5.0,21.0,3.0,4.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-24,3.0,5.0,10.0,7.0,20.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-25,4.0,7.0,20.0,5.0,4.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-26,1.0,9.0,17.0,5.0,3.0,-2.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-27,-5.0,3.0,-6.0,-3.0,1.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-28,-7.0,-2.0,-20.0,-6.0,18.0,1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-02-29,3.0,9.0,10.0,-5.0,4.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-01,0.0,12.0,27.0,6.0,9.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-02,7.0,10.0,21.0,8.0,22.0,-2.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-03,3.0,8.0,7.0,4.0,5.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-04,-2.0,4.0,-7.0,2.0,3.0,0.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-05,9.0,12.0,17.0,9.0,3.0,-2.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-06,8.0,8.0,0.0,5.0,20.0,-1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-07,2.0,6.0,-15.0,-9.0,3.0,1.0
MK,North Macedonia,,,,,,ChIJCUi8cJ8VVBMRscUfyNZa8uA,2020-03-08,17.0,21.0,-2.0,4.0,7.0,0.0
