country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-03,-41.0,-15.0,,-67.0,-48.0,18.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-04,-48.0,-11.0,,-60.0,-32.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-05,-51.0,-20.0,,-57.0,-33.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-06,-30.0,-17.0,,-66.0,-47.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-07,-28.0,-6.0,,-65.0,-48.0,17.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-08,-37.0,-6.0,,-62.0,-47.0,15.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-09,-37.0,-4.0,,-65.0,-48.0,17.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-10,-37.0,-2.0,,-64.0,-52.0,17.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-11,-43.0,2.0,,-53.0,-26.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-12,-63.0,-44.0,,-53.0,-33.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-13,-60.0,-40.0,,-80.0,-83.0,27.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-14,-35.0,-6.0,,-66.0,-47.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-15,-36.0,-7.0,,-63.0,-44.0,15.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-16,-41.0,-5.0,,-64.0,-45.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-17,-40.0,-7.0,,-63.0,-43.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-18,-50.0,-6.0,5.0,-61.0,-22.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-19,-49.0,-12.0,,-49.0,-23.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-20,-26.0,-4.0,,-65.0,-44.0,15.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-21,-29.0,0.0,,-65.0,-43.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-22,-33.0,-1.0,,-60.0,-42.0,13.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-23,-34.0,3.0,,-60.0,-44.0,15.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-24,-34.0,2.0,,-61.0,-41.0,14.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-25,-41.0,5.0,,-53.0,-20.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-26,-46.0,-5.0,,-49.0,-27.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-27,-30.0,-18.0,,-73.0,-78.0,22.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-28,-35.0,-6.0,,-65.0,-45.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-29,-35.0,-1.0,,-62.0,-42.0,14.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-04-30,-37.0,-5.0,,-63.0,-45.0,16.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-05-01,-41.0,-9.0,,-62.0,-43.0,15.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-05-02,-41.0,-2.0,,-55.0,-16.0,9.0
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-05-03,-42.0,-13.0,,-52.0,-17.0,
NL,Netherlands,South Holland,Schiedam,,,,ChIJCwMCRU41xEcR9cSV0KaMtOg,2020-05-04,-15.0,-4.0,,-64.0,-50.0,14.0
