country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-07,-28.0,-14.0,46.0,-56.0,-33.0,12.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-08,-24.0,-12.0,83.0,-54.0,-31.0,10.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-09,-40.0,-24.0,80.0,-49.0,-10.0,-1.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-10,-38.0,5.0,65.0,-56.0,2.0,-2.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-11,-27.0,-19.0,-41.0,-56.0,-19.0,12.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-12,-22.0,-13.0,21.0,-54.0,-29.0,13.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-13,-27.0,-13.0,45.0,-51.0,-30.0,12.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-14,-25.0,-12.0,54.0,-52.0,-30.0,12.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-15,-23.0,-11.0,64.0,-51.0,-28.0,10.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-16,-34.0,-18.0,54.0,-50.0,-7.0,2.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-17,-34.0,8.0,70.0,-54.0,5.0,0.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-18,-10.0,-12.0,63.0,-42.0,-12.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-19,-13.0,-12.0,56.0,-49.0,-26.0,10.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-20,-14.0,-10.0,,-44.0,-26.0,8.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-21,-9.0,-4.0,,-45.0,-28.0,8.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-22,-15.0,-10.0,77.0,-49.0,-25.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-23,-26.0,-16.0,9.0,-50.0,-9.0,3.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-24,-36.0,0.0,21.0,-51.0,1.0,1.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-25,-11.0,-8.0,-21.0,-44.0,-12.0,8.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-26,-8.0,-4.0,,-41.0,-23.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-27,-15.0,-12.0,,-41.0,-23.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-28,-13.0,-8.0,22.0,-45.0,-25.0,9.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-29,-12.0,-7.0,64.0,-47.0,-21.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-30,-18.0,-15.0,100.0,-41.0,2.0,-2.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-05-31,-17.0,5.0,131.0,-43.0,10.0,-3.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-06-01,20.0,2.0,,-28.0,-7.0,3.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-06-02,-6.0,-8.0,,-42.0,-21.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-06-03,-10.0,-8.0,,-38.0,-21.0,5.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-06-04,-10.0,-7.0,,-37.0,-21.0,6.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-06-05,-12.0,-8.0,35.0,-46.0,-22.0,7.0
PL,Poland,Lubusz Voivodeship,Zielona Gora,,,,ChIJySR0XNkTBkcRFXatTtJv85A,2020-06-06,-18.0,-17.0,89.0,-36.0,0.0,-1.0
