country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-25,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-26,,,27.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-27,,,23.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-28,,,28.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-29,,,-3.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-30,,,22.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-05-31,,,17.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-01,,,22.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-02,,,23.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-03,,,36.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-04,,,37.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-05,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-06,,,51.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-07,,,51.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-08,,,39.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-09,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-10,,,30.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-11,,,35.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-12,,,13.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-13,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-14,,,17.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-15,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-16,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-17,,,24.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-18,,,27.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-19,,,9.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-20,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-21,,,24.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-22,,,21.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-23,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-24,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-25,,,33.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-26,,,21.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-27,,,38.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-28,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-29,,,27.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-06-30,,,33.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-01,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-02,,,37.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-03,,,20.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-04,,,36.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-05,,,35.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-06,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-07,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-08,,,26.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-09,,,32.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-10,,,18.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-11,,,36.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-12,,,25.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-13,,,24.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-14,,,32.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-15,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-16,,,34.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-17,,,23.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-18,,,40.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-19,,,29.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-20,,,25.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-21,,,34.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-22,,,32.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-23,,,40.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-24,,,28.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-25,,,48.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-26,,,48.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-27,,,27.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-28,,,45.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-29,,,35.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-30,,,37.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-07-31,,,25.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-01,,,39.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-02,,,48.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-03,,,38.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-04,,,52.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-05,,,39.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-06,,,45.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-07,,,34.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-08,,,52.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-09,,,59.0,,,
RO,Romania,Vaslui County,Negresti,,,,ChIJ7xn_qGliykARFNxGk6Nl_cc,2020-08-10,,,44.0,,,
