country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-16,11.0,28.0,,10.0,-28.0,7.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-17,23.0,49.0,,5.0,-28.0,6.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-18,28.0,69.0,,17.0,-38.0,5.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-19,-64.0,-19.0,,9.0,-84.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-20,-59.0,-21.0,,31.0,-20.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-21,-12.0,11.0,,1.0,-1.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-22,13.0,21.0,,-8.0,-39.0,11.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-23,2.0,11.0,,8.0,-34.0,8.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-24,3.0,18.0,,18.0,-33.0,7.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-25,10.0,28.0,,21.0,-34.0,5.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-26,-6.0,17.0,,28.0,-38.0,4.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-27,-17.0,12.0,,115.0,-6.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-28,2.0,28.0,,24.0,4.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-29,16.0,17.0,,-2.0,-40.0,10.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-06-30,10.0,12.0,,-21.0,-38.0,12.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-01,12.0,18.0,,-7.0,-38.0,9.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-02,20.0,16.0,,6.0,-39.0,9.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-03,-3.0,-1.0,,1.0,-40.0,9.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-04,-13.0,1.0,,23.0,-10.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-05,-10.0,9.0,,-5.0,-3.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-06,19.0,17.0,,-26.0,-56.0,15.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-07,11.0,20.0,,-8.0,-57.0,14.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-08,8.0,18.0,,8.0,-55.0,12.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-09,8.0,11.0,,15.0,-55.0,11.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-10,-4.0,1.0,,20.0,-56.0,11.0
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-11,-16.0,2.0,,76.0,-9.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-12,-15.0,5.0,,60.0,-2.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-13,20.0,19.0,,17.0,-67.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-14,15.0,16.0,,-23.0,-68.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-15,12.0,21.0,,-5.0,-66.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-16,7.0,14.0,,31.0,-67.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-17,-14.0,-3.0,,29.0,-68.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-18,-24.0,-5.0,,79.0,-4.0,
SE,Sweden,Västra Götaland County,Kungälv Municipality,,,,ChIJ8-DpUXpjRUYRP0Stz7R_BYk,2020-07-19,-15.0,11.0,,27.0,-3.0,
