country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-06,-36.0,9.0,38.0,-6.0,-21.0,11.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-07,-34.0,16.0,47.0,-9.0,-19.0,10.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-08,-26.0,31.0,42.0,-19.0,-20.0,10.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-09,-86.0,-65.0,-47.0,-71.0,-59.0,24.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-10,-87.0,-67.0,-60.0,-72.0,-55.0,18.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-11,-23.0,25.0,31.0,-15.0,-21.0,7.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-12,-27.0,17.0,37.0,-6.0,-22.0,10.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-13,-37.0,5.0,8.0,-16.0,-23.0,9.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-14,-37.0,8.0,9.0,-22.0,-24.0,9.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-15,-30.0,21.0,6.0,-28.0,-26.0,9.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-16,-86.0,-67.0,-58.0,-75.0,-61.0,23.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-17,-88.0,-69.0,-66.0,-77.0,-58.0,19.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-18,-33.0,10.0,10.0,-32.0,-29.0,8.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-19,-32.0,9.0,8.0,-17.0,-27.0,10.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-20,-40.0,3.0,0.0,-16.0,-26.0,12.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-21,-35.0,12.0,12.0,-22.0,-22.0,10.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-22,-23.0,32.0,29.0,-17.0,-24.0,9.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-23,-84.0,-62.0,-50.0,-64.0,-58.0,22.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-24,-86.0,-63.0,-60.0,-70.0,-56.0,19.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-25,-20.0,30.0,40.0,-13.0,-24.0,4.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-26,-24.0,20.0,46.0,-1.0,-25.0,6.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-27,-32.0,15.0,31.0,-3.0,-23.0,6.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-28,-37.0,10.0,5.0,-15.0,-22.0,8.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-29,-25.0,31.0,23.0,-10.0,-23.0,9.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-30,-84.0,-60.0,-50.0,-63.0,-57.0,22.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-01-31,-85.0,-60.0,-63.0,-67.0,-56.0,19.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-01,-16.0,40.0,47.0,-9.0,-23.0,3.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-02,-24.0,26.0,44.0,0.0,-25.0,6.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-03,-31.0,14.0,44.0,4.0,-24.0,6.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-04,-31.0,20.0,44.0,-14.0,-22.0,5.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-05,-25.0,36.0,19.0,-13.0,-24.0,7.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-06,-84.0,-60.0,-47.0,-63.0,-57.0,20.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-07,-85.0,-63.0,-60.0,-68.0,-55.0,17.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-08,-19.0,34.0,43.0,-5.0,-25.0,1.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-09,-23.0,29.0,46.0,4.0,-25.0,4.0
TR,Turkey,Ordu,,,TR-52,,ChIJU_Hbfb-7YkARKa90O2R5Br8,2021-02-10,-31.0,18.0,28.0,10.0,-23.0,6.0
