country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-15,3.0,3.0,-1.0,4.0,3.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-16,4.0,2.0,-2.0,6.0,3.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-17,6.0,3.0,2.0,5.0,5.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-18,4.0,2.0,1.0,2.0,5.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-19,2.0,-1.0,-3.0,1.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-20,3.0,0.0,4.0,1.0,6.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-21,0.0,1.0,2.0,-1.0,4.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-22,5.0,5.0,1.0,5.0,7.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-23,7.0,2.0,1.0,2.0,7.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-24,7.0,4.0,1.0,6.0,8.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-25,7.0,3.0,2.0,8.0,7.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-26,5.0,0.0,1.0,6.0,6.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-27,5.0,1.0,4.0,10.0,9.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-28,4.0,4.0,3.0,5.0,7.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-02-29,8.0,6.0,2.0,9.0,8.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-01,1.0,-3.0,-5.0,2.0,-1.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-02,7.0,5.0,2.0,6.0,6.0,0.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-03,3.0,0.0,1.0,5.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-04,2.0,0.0,5.0,4.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-05,4.0,1.0,4.0,10.0,6.0,0.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-06,0.0,2.0,5.0,7.0,6.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-07,1.0,2.0,1.0,7.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-08,3.0,1.0,-1.0,6.0,2.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-09,2.0,3.0,-1.0,6.0,3.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-10,1.0,0.0,1.0,4.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-11,-1.0,0.0,1.0,5.0,2.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-12,-1.0,-1.0,-1.0,2.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-13,-3.0,1.0,-1.0,-1.0,4.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-14,-1.0,3.0,0.0,0.0,3.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-15,1.0,1.0,-1.0,-1.0,2.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-16,0.0,3.0,-4.0,-1.0,-1.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-17,-3.0,0.0,-1.0,-4.0,-1.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-18,-1.0,-1.0,-2.0,-9.0,-3.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-19,-4.0,0.0,-2.0,-4.0,2.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-20,-5.0,4.0,-4.0,-3.0,8.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-21,-1.0,7.0,-3.0,-5.0,1.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-22,-5.0,1.0,-6.0,-6.0,-2.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-23,-6.0,3.0,-6.0,-10.0,-3.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-24,-10.0,-2.0,-8.0,-11.0,-6.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-25,-14.0,-7.0,-7.0,-24.0,-10.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-26,-13.0,-4.0,-9.0,-19.0,-2.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-27,-14.0,-3.0,-13.0,-16.0,5.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-28,-8.0,2.0,-8.0,-10.0,-1.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-29,-8.0,-1.0,-9.0,-9.0,-5.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-30,-8.0,0.0,-8.0,-13.0,-6.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-03-31,-9.0,-1.0,-7.0,-14.0,-6.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-01,-11.0,-3.0,-10.0,-16.0,-8.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-02,-16.0,-6.0,-9.0,-20.0,-5.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-03,-13.0,0.0,-11.0,-15.0,2.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-04,-6.0,5.0,-5.0,-12.0,-2.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-05,-5.0,2.0,-6.0,-12.0,-7.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-06,-5.0,2.0,-7.0,-16.0,-7.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-07,-5.0,2.0,-3.0,-14.0,-7.0,4.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-08,-10.0,-2.0,-8.0,-17.0,-9.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-09,-11.0,-3.0,-7.0,-10.0,-3.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-10,-14.0,-2.0,-15.0,-18.0,1.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-11,-9.0,-1.0,-8.0,-12.0,-6.0,6.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-12,-9.0,-3.0,-11.0,-15.0,-10.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-13,-8.0,-2.0,-8.0,-20.0,-8.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-14,-11.0,-4.0,-8.0,-14.0,-8.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-15,-10.0,-3.0,-9.0,-19.0,-8.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-16,-8.0,1.0,-10.0,-16.0,-3.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-17,-8.0,2.0,-10.0,-14.0,5.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-18,-3.0,3.0,-8.0,-9.0,-3.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-19,1.0,4.0,-9.0,-11.0,-7.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-20,-2.0,2.0,-9.0,-15.0,-7.0,3.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-21,-3.0,-1.0,-12.0,-20.0,-12.0,1.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-22,-3.0,-1.0,-9.0,-16.0,-12.0,0.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-23,-4.0,-1.0,-13.0,-17.0,-8.0,2.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-24,-21.0,-9.0,-29.0,-27.0,-3.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-25,-17.0,-6.0,-18.0,-20.0,-10.0,7.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-26,-15.0,-9.0,-18.0,-17.0,-13.0,7.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-27,-15.0,-6.0,-19.0,-22.0,-12.0,6.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-28,-10.0,-4.0,-13.0,-14.0,-10.0,5.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-29,-10.0,-3.0,-13.0,-14.0,-10.0,7.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-04-30,-16.0,-9.0,-16.0,-20.0,-9.0,8.0
YE,Yemen,,,,,,ChIJX7w0fKzbAxYRrneufjcp8ZI,2020-05-01,-12.0,-4.0,-20.0,-12.0,6.0,3.0
