Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-03-10 05:24:35,13892,154,12420.0,1318.0,3064.123376623377,1.1085516844226893
Altai Krai,2021-03-10 05:24:35,44681,1563,40040.0,3078.0,1901.2544253812641,3.498131196705535
Altai Republic,2021-03-10 05:24:35,16360,177,16119.0,64.0,7502.419025694409,1.0819070904645476
Amur Oblast,2021-03-10 05:24:35,21317,191,19905.0,1221.0,2669.884672805427,0.8959984988506825
Arkhangelsk Oblast,2021-03-10 05:24:35,57726,708,52654.0,4364.0,4997.800919111917,1.226483733499636
Astrakhan Oblast,2021-03-10 05:24:35,29112,587,23117.0,5408.0,2861.0908547695667,2.016350645781808
Bashkortostan Republic,2021-03-10 05:24:35,29790,303,23971.0,5516.0,733.1491969690593,1.0171198388721048
Belgorod Oblast,2021-03-10 05:24:35,32305,508,29613.0,2184.0,2084.3602972108747,1.5725119950472064
Bryansk Oblast,2021-03-10 05:24:35,33716,263,32874.0,579.0,2784.186717886806,0.7800450824534346
Buryatia Republic,2021-03-10 05:24:35,34539,730,32352.0,1457.0,3508.2391156624963,2.1135527953907176
Chechen Republic,2021-03-10 05:24:35,11400,113,10956.0,331.0,793.3299048491248,0.9912280701754386
Chelyabinsk Oblast,2021-03-10 05:24:35,52356,1059,46287.0,5010.0,1498.868033424219,2.022690809076324
Chukotka Autonomous Okrug,2021-03-10 05:24:35,703,5,660.0,38.0,1424.5764772635162,0.7112375533428165
Chuvashia Republic,2021-03-10 05:24:35,21837,1083,19979.0,775.0,1773.7550533377414,4.959472455007557
Dagestan Republic,2021-03-10 05:24:35,30147,1361,27894.0,892.0,983.9468517911084,4.514545394234916
Ingushetia Republic,2021-03-10 05:24:35,14869,174,13155.0,1540.0,3046.6577740076177,1.170219920640258
Irkutsk Oblast,2021-03-10 05:24:35,57550,1846,55006.0,698.0,2393.732621521965,3.207645525629887
Ivanovo Oblast,2021-03-10 05:24:35,31146,960,29326.0,860.0,3069.642022932136,3.082257753804662
Jewish Autonomous Okrug,2021-03-10 05:24:35,4364,119,4159.0,86.0,2693.594380732529,2.726856095325389
Kabardino-Balkarian Republic,2021-03-10 05:24:35,21599,381,20289.0,929.0,2494.606319037961,1.7639705541923236
Kaliningrad Oblast,2021-03-10 05:24:35,29010,280,26527.0,2203.0,2916.7533850325613,0.9651844191658048
Kalmykia Republic,2021-03-10 05:24:35,19299,302,18380.0,617.0,7007.2944995334265,1.5648479195813254
Kaluga Oblast,2021-03-10 05:24:35,30683,269,28448.0,1966.0,3031.749231267835,0.8767069712870319
Kamchatka Krai,2021-03-10 05:24:35,13749,139,12526.0,1084.0,4357.05752051135,1.0109826169175942
Karachay-Cherkess Republic,2021-03-10 05:24:35,19327,64,17682.0,1581.0,4144.712151917736,0.33114296062503235
Karelia Republic,2021-03-10 05:24:35,41748,327,38003.0,3418.0,6706.678404585499,0.7832710549008336
