Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-08-18 04:27:56,3129,23,2583,523.0,690.1556324110672,0.7350591243208693
Altai Krai,2020-08-18 04:27:56,10711,99,8959,1653.0,455.771718409586,0.9242834469237232
Altai Republic,2020-08-18 04:27:56,1833,7,1570,256.0,840.5827673653945,0.3818876159301691
Amur Oblast,2020-08-18 04:27:56,3081,47,2630,404.0,385.8851938318488,1.5254787406686139
Arkhangelsk Oblast,2020-08-18 04:27:56,9838,241,8614,983.0,851.7542431871782,2.4496848953039234
Astrakhan Oblast,2020-08-18 04:27:56,5185,59,4297,829.0,509.57529822685484,1.1378977820636451
Bashkortostan Republic,2020-08-18 04:27:56,7333,26,6370,937.0,180.46938776012462,0.3545615709804991
Belgorod Oblast,2020-08-18 04:27:56,6762,51,5852,859.0,436.2929679535652,0.7542147293700089
Bryansk Oblast,2020-08-18 04:27:56,7852,35,6372,1445.0,648.3993981743741,0.44574630667345894
Buryatia Republic,2020-08-18 04:27:56,4630,42,4002,586.0,470.2842324768337,0.9071274298056156
Chechen Republic,2020-08-18 04:27:56,2194,37,1462,695.0,152.68121151219117,1.6864175022789425
Chelyabinsk Oblast,2020-08-18 04:27:56,12737,99,8241,4397.0,364.63981476285966,0.777263091779854
Chukotka Autonomous Okrug,2020-08-18 04:27:56,164,1,154,9.0,332.33363054227124,0.6097560975609756
Chuvashia Republic,2020-08-18 04:27:56,7309,68,5512,1729.0,593.6884958943789,0.9303598303461486
Dagestan Republic,2020-08-18 04:27:56,10091,470,9043,578.0,329.35309256058895,4.657615697155881
Ingushetia Republic,2020-08-18 04:27:56,4045,75,3496,474.0,828.820411316216,1.854140914709518
Irkutsk Oblast,2020-08-18 04:27:56,15556,228,11251,4077.0,647.0357021788998,1.4656724093597326
Ivanovo Oblast,2020-08-18 04:27:56,6909,111,5580,1218.0,680.9271410915727,1.606600086843248
Jewish Autonomous Okrug,2020-08-18 04:27:56,582,8,511,63.0,359.22821484563065,1.3745704467353952
Kabardino-Balkarian Republic,2020-08-18 04:27:56,6239,75,5857,307.0,720.5819169627223,1.2021157236736657
Kaliningrad Oblast,2020-08-18 04:27:56,3147,53,2455,639.0,316.4089246017742,1.6841436288528755
Kalmykia Republic,2020-08-18 04:27:56,3407,42,2355,1010.0,1237.0512648277315,1.232756090402113
Kaluga Oblast,2020-08-18 04:27:56,7654,58,6391,1205.0,756.2822610606528,0.7577737130911941
Kamchatka Krai,2020-08-18 04:27:56,3627,42,3082,503.0,1149.3961471303126,1.1579818031430935
Karachay-Cherkess Republic,2020-08-18 04:27:56,4652,25,3819,808.0,997.6303063445599,0.5374032674118658
Karelia Republic,2020-08-18 04:27:56,2720,14,1802,904.0,436.95902223992914,0.5147058823529411
Kemerovo Oblast,2020-08-18 04:27:56,5119,19,3516,1584.0,189.9530108424244,0.3711662434069154
Khabarovsk Krai,2020-08-18 04:27:56,9086,81,6910,2095.0,684.0311917018871,0.8914813999559762
Khakassia Republic,2020-08-18 04:27:56,3161,37,2840,284.0,588.0787999546058,1.1705156596013921
Khanty-Mansi Autonomous Okrug,2020-08-18 04:27:56,18592,150,16517,1925.0,1213.384561065053,0.8067986230636833
Kirov Oblast,2020-08-18 04:27:56,5694,87,4642,965.0,443.7212738400827,1.527924130663857
Komi Republic,2020-08-18 04:27:56,6117,76,4918,1123.0,727.4582487486218,1.2424391041360143
Kostroma Oblast,2020-08-18 04:27:56,2947,33,1981,933.0,458.0895474131231,1.1197828299966066
Krasnodar Krai,2020-08-18 04:27:56,9991,143,8436,1412.0,178.30182281535198,1.4312881593434092
Krasnoyarsk Krai,2020-08-18 04:27:56,15285,387,12543,2355.0,531.3754890062461,2.53189401373896
Kurgan Oblast,2020-08-18 04:27:56,2654,14,2255,385.0,313.88336642867193,0.5275056518462697
Kursk Oblast,2020-08-18 04:27:56,6683,51,5545,1087.0,599.2448241943192,0.7631303306898101
Leningrad Oblast,2020-08-18 04:27:56,6401,68,4731,1602.0,352.90238921698784,1.0623340103108891
Lipetsk Oblast,2020-08-18 04:27:56,4834,23,4205,606.0,420.2743694362985,0.4757964418700869
Magadan Oblast,2020-08-18 04:27:56,1664,15,1251,398.0,1154.8257698260127,0.9014423076923076
Mari El Republic,2020-08-18 04:27:56,4028,36,3533,459.0,590.327596642695,0.8937437934458788
Mordovia Republic,2020-08-18 04:27:56,5015,38,3901,1076.0,622.938031640035,0.7577268195413759
