City,Airport,IATA,ICAO,Date,Arrivals,Departures
Грозный,Грозный,GRV,URMG,2021-06-20,8,7
Грозный,Грозный,GRV,URMG,2021-06-19,8,7
Грозный,Грозный,GRV,URMG,2021-06-18,8,7
Грозный,Грозный,GRV,URMG,2021-06-17,7,7
Грозный,Грозный,GRV,URMG,2021-06-16,7,7
Грозный,Грозный,GRV,URMG,2021-06-15,8,7
Грозный,Грозный,GRV,URMG,2021-06-14,7,7
Грозный,Грозный,GRV,URMG,2021-06-13,7,7
Грозный,Грозный,GRV,URMG,2021-06-12,7,7
Грозный,Грозный,GRV,URMG,2021-06-11,7,7
Грозный,Грозный,GRV,URMG,2021-06-10,7,8
Грозный,Грозный,GRV,URMG,2021-06-09,7,7
Грозный,Грозный,GRV,URMG,2021-06-08,7,7
Грозный,Грозный,GRV,URMG,2021-06-07,7,8
Грозный,Грозный,GRV,URMG,2021-06-06,7,7
Грозный,Грозный,GRV,URMG,2021-06-05,7,8
Грозный,Грозный,GRV,URMG,2021-06-04,8,8
Грозный,Грозный,GRV,URMG,2021-06-03,7,7
Грозный,Грозный,GRV,URMG,2021-06-02,7,7
Грозный,Грозный,GRV,URMG,2021-06-01,7,7
Грозный,Грозный,GRV,URMG,2021-05-31,7,7
Грозный,Грозный,GRV,URMG,2021-05-30,7,7
Грозный,Грозный,GRV,URMG,2021-05-29,7,7
Грозный,Грозный,GRV,URMG,2021-05-28,7,7
Грозный,Грозный,GRV,URMG,2021-05-27,7,7
Грозный,Грозный,GRV,URMG,2021-05-26,7,7
Грозный,Грозный,GRV,URMG,2021-05-25,7,7
Грозный,Грозный,GRV,URMG,2021-05-24,7,7
Грозный,Грозный,GRV,URMG,2021-05-23,7,7
Грозный,Грозный,GRV,URMG,2021-05-22,7,7
Грозный,Грозный,GRV,URMG,2021-05-21,7,7
Грозный,Грозный,GRV,URMG,2021-05-20,7,8
Грозный,Грозный,GRV,URMG,2021-05-19,7,7
Грозный,Грозный,GRV,URMG,2021-05-18,7,7
Грозный,Грозный,GRV,URMG,2021-05-17,7,7
Грозный,Грозный,GRV,URMG,2021-05-16,7,7
Грозный,Грозный,GRV,URMG,2021-05-15,7,7
Грозный,Грозный,GRV,URMG,2021-05-14,7,7
Грозный,Грозный,GRV,URMG,2021-05-13,7,7
Грозный,Грозный,GRV,URMG,2021-05-12,7,7
Грозный,Грозный,GRV,URMG,2021-05-11,7,6
Грозный,Грозный,GRV,URMG,2021-05-10,7,7
Грозный,Грозный,GRV,URMG,2021-05-09,7,7
Грозный,Грозный,GRV,URMG,2021-05-08,7,7
Грозный,Грозный,GRV,URMG,2021-05-07,7,7
Грозный,Грозный,GRV,URMG,2021-05-06,7,7
Грозный,Грозный,GRV,URMG,2021-05-05,6,7
Грозный,Грозный,GRV,URMG,2021-05-04,7,7
Грозный,Грозный,GRV,URMG,2021-05-03,6,7
Грозный,Грозный,GRV,URMG,2021-05-02,6,6
Грозный,Грозный,GRV,URMG,2021-05-01,6,6
Грозный,Грозный,GRV,URMG,2021-04-30,5,6
Грозный,Грозный,GRV,URMG,2021-04-29,6,6
Грозный,Грозный,GRV,URMG,2021-04-28,6,6
Грозный,Грозный,GRV,URMG,2021-04-27,6,6
Грозный,Грозный,GRV,URMG,2021-04-26,6,6
Грозный,Грозный,GRV,URMG,2021-04-25,6,6
Грозный,Грозный,GRV,URMG,2021-04-24,6,6
