,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,21:10 12 мая,Сочи,,FV 5504Россия,D,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 02:19 13 мая,Совершил посадку в 02:19 13 мая,,FV 5504Россия,D,ПрилетелВыдача багажа: лента 1
2,22:40 12 мая,Сочи,,FV 5510Россия,D,ПрилетелВыдача багажа: лента 1
3,Совершил посадку в 05:03 13 мая,Совершил посадку в 05:03 13 мая,,FV 5510Россия,D,ПрилетелВыдача багажа: лента 1
4,00:05 13 мая,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 1
5,Совершил посадку в 23:47 12 мая,Совершил посадку в 23:47 12 мая,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 1
6,00:05 13 мая,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 1
7,Совершил посадку в 23:47 12 мая,Совершил посадку в 23:47 12 мая,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 1
8,00:15 13 мая,Сочи,,KL 2859KLM,B,ПрилетелВыдача багажа: лента 2
9,Совершил посадку в 23:55 12 мая,Совершил посадку в 23:55 12 мая,,KL 2859KLM,B,ПрилетелВыдача багажа: лента 2
10,00:15 13 мая,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
11,Совершил посадку в 23:55 12 мая,Совершил посадку в 23:55 12 мая,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
12,00:15 13 мая,Сочи,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
13,Совершил посадку в 23:55 12 мая,Совершил посадку в 23:55 12 мая,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
14,00:20 13 мая,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
15,Совершил посадку в 23:37 12 мая,Совершил посадку в 23:37 12 мая,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
16,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 00:03,Совершил посадку в 00:03,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 4
18,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 4
19,Совершил посадку в 00:03,Совершил посадку в 00:03,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 4
20,00:55,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
21,Совершил посадку в 00:07,Совершил посадку в 00:07,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
22,00:55,Сочи,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 2
23,Совершил посадку в 00:37,Совершил посадку в 00:37,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 2
24,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
25,Совершил посадку в 00:37,Совершил посадку в 00:37,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
26,01:55,Нижний Новгород,,SU 7331Аэрофлот,D,ПрилетелВыдача багажа: лента 3
27,Совершил посадку в 02:32,Совершил посадку в 02:32,,SU 7331Аэрофлот,D,ПрилетелВыдача багажа: лента 3
28,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
29,Совершил посадку в 04:06,Совершил посадку в 04:06,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
30,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 2
31,Совершил посадку в 04:17,Совершил посадку в 04:17,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 2
32,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 2
33,Совершил посадку в 04:17,Совершил посадку в 04:17,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 2
34,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 3
35,Совершил посадку в 04:22,Совершил посадку в 04:22,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 3
36,05:10,Сочи,,FV 5502Россия,D,ПрилетелВыдача багажа: лента 2
37,Совершил посадку в 04:44,Совершил посадку в 04:44,,FV 5502Россия,D,ПрилетелВыдача багажа: лента 2
38,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
39,Совершил посадку в 05:09,Совершил посадку в 05:09,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
40,05:10,Мурманск,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
41,Совершил посадку в 05:09,Совершил посадку в 05:09,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
42,05:30,Баку,,SU 1851Аэрофлот,D,ПрилетелВыдача багажа: лента 9
43,Совершил посадку в 04:34,Совершил посадку в 04:34,,SU 1851Аэрофлот,D,ПрилетелВыдача багажа: лента 9
44,05:45,Екатеринбург,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 4
45,Совершил посадку в 05:24,Совершил посадку в 05:24,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 4
46,05:45,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 4
47,Совершил посадку в 05:24,Совершил посадку в 05:24,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 4
48,05:50,Уфа,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 5
49,Совершил посадку в 05:20,Совершил посадку в 05:20,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 5
50,05:50,Уфа,,KL 2888KLM,B,ПрилетелВыдача багажа: лента 5
51,Совершил посадку в 05:20,Совершил посадку в 05:20,,KL 2888KLM,B,ПрилетелВыдача багажа: лента 5
52,06:05,Челябинск,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
53,Совершил посадку в 05:27,Совершил посадку в 05:27,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
54,06:05,Оренбург,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 2
55,Совершил посадку в 05:35,Совершил посадку в 05:35,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 2
56,06:05,Оренбург,,KL 3256KLM,B,ПрилетелВыдача багажа: лента 2
57,Совершил посадку в 05:35,Совершил посадку в 05:35,,KL 3256KLM,B,ПрилетелВыдача багажа: лента 2
58,06:05,Калининград,,KL 2914KLM,B,ПрилетелВыдача багажа: лента 3
59,Совершил посадку в 05:39,Совершил посадку в 05:39,,KL 2914KLM,B,ПрилетелВыдача багажа: лента 3
60,06:05,Калининград,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 3
61,Совершил посадку в 05:39,Совершил посадку в 05:39,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 3
62,06:05,Пермь,,DP 4434Победа,D,ПрилетелВыдача багажа: лента 3
63,Совершил посадку в 05:53,Совершил посадку в 05:53,,DP 4434Победа,D,ПрилетелВыдача багажа: лента 3
64,06:10,Новосибирск,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 6
65,Совершил посадку в 05:41,Совершил посадку в 05:41,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 6
66,06:10,Новосибирск,,KL 3226KLM,B,ПрилетелВыдача багажа: лента 6
67,Совершил посадку в 05:41,Совершил посадку в 05:41,,KL 3226KLM,B,ПрилетелВыдача багажа: лента 6
68,06:15,Сургут,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 1
69,Совершил посадку в 05:46,Совершил посадку в 05:46,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 1
70,06:15,Сургут,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 1
71,Совершил посадку в 05:46,Совершил посадку в 05:46,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 1
72,06:15,Нижний Новгород,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 4
73,Совершил посадку в 05:51,Совершил посадку в 05:51,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 4
74,06:20,Тюмень,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
75,Совершил посадку в 05:49,Совершил посадку в 05:49,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
76,06:25,Бишкек,,SU 1881Аэрофлот,D,ПрилетелВыдача багажа: лента 9
77,Совершил посадку в 05:44,Совершил посадку в 05:44,,SU 1881Аэрофлот,D,ПрилетелВыдача багажа: лента 9
78,06:25,Санкт-Петербург,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 5
79,Совершил посадку в 06:07,Совершил посадку в 06:07,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 5
80,06:30,Омск,,JU 7012Air Serbia,B,ПрилетелВыдача багажа: лента 2
81,Совершил посадку в 05:56,Совершил посадку в 05:56,,JU 7012Air Serbia,B,ПрилетелВыдача багажа: лента 2
82,06:30,Омск,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 2
83,Совершил посадку в 05:56,Совершил посадку в 05:56,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 2
84,06:30,Омск,,KL 2947KLM,B,ПрилетелВыдача багажа: лента 2
85,Совершил посадку в 05:56,Совершил посадку в 05:56,,KL 2947KLM,B,ПрилетелВыдача багажа: лента 2
86,06:30,Магнитогорск,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
87,Совершил посадку в 06:04,Совершил посадку в 06:04,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
88,06:35,Орск,,"EO 564, N4 564Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
89,Совершил посадку в 06:02,Совершил посадку в 06:02,,"EO 564, N4 564Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
90,06:40,Пермь,,KL 3259KLM,B,ПрилетелВыдача багажа: лента 4
91,Совершил посадку в 06:18,Совершил посадку в 06:18,,KL 3259KLM,B,ПрилетелВыдача багажа: лента 4
92,06:40,Пермь,,SU 1395Аэрофлот,B,ПрилетелВыдача багажа: лента 4
93,Совершил посадку в 06:18,Совершил посадку в 06:18,,SU 1395Аэрофлот,B,ПрилетелВыдача багажа: лента 4
94,06:40,Иркутск,,SU 1441Аэрофлот,B,ПрилетелВыдача багажа: лента 2
95,Совершил посадку в 06:33,Совершил посадку в 06:33,,SU 1441Аэрофлот,B,ПрилетелВыдача багажа: лента 2
96,06:40,Иркутск,,KL 3238KLM,B,ПрилетелВыдача багажа: лента 2
97,Совершил посадку в 06:33,Совершил посадку в 06:33,,KL 3238KLM,B,ПрилетелВыдача багажа: лента 2
98,06:45,Нижнекамск,,"FV 6248, SU 6248Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
99,Совершил посадку в 06:20,Совершил посадку в 06:20,,"FV 6248, SU 6248Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
100,06:50,Тамчы,,N4 2012Nordwind,D,Нет актуальной информации о статусе
101,,,,N4 2012Nordwind,D,Нет актуальной информации о статусе
102,06:55,Ульяновск,,SU 1289Аэрофлот,B,Нет актуальной информации о статусе
103,,,,SU 1289Аэрофлот,B,Нет актуальной информации о статусе
104,06:55,Ташкент,,SU 1871Аэрофлот,D,ПрилетелВыдача багажа: лента 9
105,Совершил посадку в 07:01,Совершил посадку в 07:01,,SU 1871Аэрофлот,D,ПрилетелВыдача багажа: лента 9
106,07:00,Нур-Султан (Астана),,SU 1957Аэрофлот,D,ПрилетелВыдача багажа: лента 7
107,Совершил посадку в 06:30,Совершил посадку в 06:30,,SU 1957Аэрофлот,D,ПрилетелВыдача багажа: лента 7
108,07:00,Оренбург,,N4 730Nordwind,D,ПрилетелВыдача багажа: лента 1
109,Совершил посадку в 06:37,Совершил посадку в 06:37,,N4 730Nordwind,D,ПрилетелВыдача багажа: лента 1
110,07:05,Ереван,,KL 3217KLM,D,ПрилетелВыдача багажа: лента 9
111,Совершил посадку в 06:27,Совершил посадку в 06:27,,KL 3217KLM,D,ПрилетелВыдача багажа: лента 9
112,07:05,Ереван,,SU 1967Аэрофлот,D,ПрилетелВыдача багажа: лента 9
113,Совершил посадку в 06:27,Совершил посадку в 06:27,,SU 1967Аэрофлот,D,ПрилетелВыдача багажа: лента 9
114,07:10,Красноярск,,"KL 3271, AZ 5653KLM, Alitalia",B,ПрилетелВыдача багажа: лента 5
115,Совершил посадку в 06:39,Совершил посадку в 06:39,,"KL 3271, AZ 5653KLM, Alitalia",B,ПрилетелВыдача багажа: лента 5
116,07:10,Красноярск,,SU 1481Аэрофлот,B,ПрилетелВыдача багажа: лента 5
117,Совершил посадку в 06:39,Совершил посадку в 06:39,,SU 1481Аэрофлот,B,ПрилетелВыдача багажа: лента 5
118,07:10,Нижневартовск,,SU 1647Аэрофлот,B,ПрилетелВыдача багажа: лента 6
119,Совершил посадку в 06:49,Совершил посадку в 06:49,,SU 1647Аэрофлот,B,ПрилетелВыдача багажа: лента 6
120,07:15,Санкт-Петербург,,JU 7029Air Serbia,B,ПрилетелВыдача багажа: лента 1
121,Совершил посадку в 07:03,Совершил посадку в 07:03,,JU 7029Air Serbia,B,ПрилетелВыдача багажа: лента 1
122,07:15,Санкт-Петербург,,SU 33Аэрофлот,B,ПрилетелВыдача багажа: лента 1
123,Совершил посадку в 07:03,Совершил посадку в 07:03,,SU 33Аэрофлот,B,ПрилетелВыдача багажа: лента 1
124,07:15,Санкт-Петербург,,AZ 4366Alitalia,B,ПрилетелВыдача багажа: лента 1
125,Совершил посадку в 07:03,Совершил посадку в 07:03,,AZ 4366Alitalia,B,ПрилетелВыдача багажа: лента 1
126,07:20,Тегеран,,SU 513Аэрофлот,D,ПрилетелВыдача багажа: лента 8
127,Совершил посадку в 06:46,Совершил посадку в 06:46,,SU 513Аэрофлот,D,ПрилетелВыдача багажа: лента 8
128,07:20,Самара,,"SU 1217, KL 2877, JU 7058Аэрофлот, KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
129,Совершил посадку в 06:59,Совершил посадку в 06:59,,"SU 1217, KL 2877, JU 7058Аэрофлот, KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
130,07:25,Ош,,SU 1895Аэрофлот,D,ПрилетелВыдача багажа: лента 6
131,Совершил посадку в 07:10,Совершил посадку в 07:10,,SU 1895Аэрофлот,D,ПрилетелВыдача багажа: лента 6
132,07:30,Екатеринбург,,KL 3240KLM,B,ПрилетелВыдача багажа: лента 2
133,Совершил посадку в 07:07,Совершил посадку в 07:07,,KL 3240KLM,B,ПрилетелВыдача багажа: лента 2
134,07:30,Екатеринбург,,"SU 1407, JU 7066Аэрофлот, Air Serbia",B,ПрилетелВыдача багажа: лента 2
135,Совершил посадку в 07:07,Совершил посадку в 07:07,,"SU 1407, JU 7066Аэрофлот, Air Serbia",B,ПрилетелВыдача багажа: лента 2
136,07:30,Воронеж,,"FV 6468, SU 6468Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
