,Время,Направление,Unnamed: 2,Рейс,Статус
0,02:15 1 мая,Москва,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 9
1,Совершил посадку в 02:04 2 мая,Совершил посадку в 02:04 2 мая,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 9
2,20:00 1 мая,Уфа,,UT 106ЮТэйр,ПрилетелВыдача багажа: лента 7
3,Совершил посадку в 05:53 2 мая,Совершил посадку в 05:53 2 мая,,UT 106ЮТэйр,ПрилетелВыдача багажа: лента 7
4,22:05 1 мая,Минеральные Воды,,U6 206Уральские авиалинии,ПрилетелВыдача багажа: лента 8
5,Совершил посадку в 00:26 2 мая,Совершил посадку в 00:26 2 мая,,U6 206Уральские авиалинии,ПрилетелВыдача багажа: лента 8
6,22:40 1 мая,Симферополь,,U6 528Уральские авиалинии,ПрилетелВыдача багажа: лента 10
7,Совершил посадку в 00:39 2 мая,Совершил посадку в 00:39 2 мая,,U6 528Уральские авиалинии,ПрилетелВыдача багажа: лента 10
8,00:15,Анталья,,EO 1842ЦPegas Fly,Нет актуальной информации о статусе
9,,,,EO 1842ЦPegas Fly,Нет актуальной информации о статусе
10,00:35,Москва,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 9
11,Совершил посадку в 00:23,Совершил посадку в 00:23,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 9
12,00:45,Сочи,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
13,Совершил посадку в 01:04,Совершил посадку в 01:04,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
14,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
15,Совершил посадку в 01:24,Совершил посадку в 01:24,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
16,02:50,Сочи,,FV 5614Россия,ПрилетелВыдача багажа: лента 10
17,Совершил посадку в 04:08,Совершил посадку в 04:08,,FV 5614Россия,ПрилетелВыдача багажа: лента 10
18,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 8
19,Совершил посадку в 03:14,Совершил посадку в 03:14,,DP 403Победа,ПрилетелВыдача багажа: лента 8
20,03:35,Симферополь,,WZ 7067Red Wings,ПрилетелВыдача багажа: лента 9
21,Совершил посадку в 03:09,Совершил посадку в 03:09,,WZ 7067Red Wings,ПрилетелВыдача багажа: лента 9
22,04:00,Москва,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 9
23,Совершил посадку в 05:44,Совершил посадку в 05:44,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 9
24,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 10
25,Совершил посадку в 03:51,Совершил посадку в 03:51,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 10
26,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 10
27,Совершил посадку в 03:51,Совершил посадку в 03:51,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 10
28,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 8
29,Совершил посадку в 04:04,Совершил посадку в 04:04,,DP 405Победа,ПрилетелВыдача багажа: лента 8
30,04:35,Москва,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 9
31,Совершил посадку в 04:18,Совершил посадку в 04:18,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 9
32,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 10
33,Совершил посадку в 04:54,Совершил посадку в 04:54,,DP 515Победа,ПрилетелВыдача багажа: лента 10
34,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
35,Совершил посадку в 04:47,Совершил посадку в 04:47,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
36,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 8
37,Совершил посадку в 05:07,Совершил посадку в 05:07,,DP 339Победа,ПрилетелВыдача багажа: лента 8
38,05:20,Москва,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 9
